company_raw,company_normalized,official_name,factset_entity_id
Saipem Group,saipem,Saipem S.p.A.,05HWJ4-E
Maersk Air Cargo A/S,maersk air cargo a s,A.P. MÃ¸ller - MÃ¦rsk A/S,05HWJR-E
MAERSK CUSTOMS BROKERAGE,maersk customs brokerage,A.P. MÃ¸ller - MÃ¦rsk A/S,05HWJR-E
ST Engineering Ltd,st engineering,Singapore Technologies Engineering Ltd,05HWJT-E
Lenovo,lenovo,Lenovo Group Limited,05HWJY-E
Lenovo (United States) Inc.,lenovo united states,Lenovo Group Limited,05HWJY-E
Lenovo / Nutamix / Nexxera / Safesytem,lenovo nutamix nexxera safesytem,Lenovo Group Limited,05HWJY-E
Lenovo Innovation Technology (Tianjin) Limited,lenovo innovation technology tianjin,Lenovo Group Limited,05HWJY-E
Lenovo Clients,lenovo clients,Lenovo Group Limited,05HWJY-E
JCDecaux Australia,jcdecaux australia,JCDecaux S.A.,05HWK3-E
JC Decaux Sweden,jc decaux sweden,JCDecaux S.A.,05HWK3-E
JCDecaux,jcdecaux,JCDecaux S.A.,05HWK3-E
JCDecaux France JCDecaux SA Cyclocity and Media Aéroport de Paris,jcdecaux france jcdecaux cyclocity and media aeroport de paris,JCDecaux S.A.,05HWK3-E
JCDecaux France,jcdecaux france,JCDecaux S.A.,05HWK3-E
JC Decaux,jc decaux,JCDecaux S.A.,05HWK3-E
Siam Cement Group,siam cement,The Siam Cement Public Company Limited,05HWKF-E
CIMB Group,cimb,CIMB Group Holdings Berhad,05HWKP-E
The Music Run by CIMB,the music run by cimb,CIMB Group Holdings Berhad,05HWKP-E
Kerry Manufacturing Philipines Inc.,kerry manufacturing philipines,Kerry Group plc,05HWL3-E
Insurance Australia Group,insurance australia,Insurance Australia Group Limited,05HWLD-E
IAG,iag,Insurance Australia Group Limited,05HWLD-E
"NSK (China) Investment Co., Ltd.",nsk china investment,NSK Ltd.,05HWLM-E
"NSK (China) Research and Development Co., Ltd.",nsk china research and development,NSK Ltd.,05HWLM-E
QBE Insurance Group Limited,qbe insurance,QBE Insurance Group Limited,05HWM1-E
SGS,sgs,SGS S.A.,05HWM3-E
