company_raw,company_normalized,official_name,factset_entity_id
"TUSCAN SOUTH AMERICA LTD. SUCURSAL COLOMBIA",tuscany south america,Gran Tierra Energy Inc.,05WKCF-E
"TUSCANY SOUTH AMERICA LTD. SUCURSAL COLOMBIA",tuscany south america,Gran Tierra Energy Inc.,05WKCF-E
"PERENCO OIL AND GAS COLOMBIA LIMITED",perenco oil and gas colombia,NOT_LISTED
"PERENCO COLOMBIA LIMITED",perenco colombia,NOT_LISTED
"CONFIPETROL S.A.S",confipetrol,NOT_MATCHED,
"PETROLEOS Y DERIVADOS DE COLOMBIA SA",petroleos y derivados de colombia,NOT_MATCHED,
"ITALCOL S.A.",italcol,NOT_MATCHED,
"C.I. EMPRESA COLOMBIANA DE SERVICIOS PETROLEROS S.A",ci empresa colombiana de servicios petroleros,NOT_MATCHED,
"New Granada Energy Corporation Sucursal Colombia",new granada energy,NOT_MATCHED,
"ECODIESEL COLOMBIA S.A.",ecodiesel colombia,Ecopetrol SA,0649LY-E
"MOVILGAS LTDA",movilgas,NOT_MATCHED,
Renting Colombia S.A.S.,renting colombia,Suramericana SA,05J27C-E
ISMOCOL SA,ismocol,NOT_MATCHED,
"HARINERA DEL VALLE S.A.",harinera del valle,NOT_MATCHED,
"INDUSTRIAS CANNON DE COLOMBIA S.A.",industrias cannon de colombia,NOT_MATCHED,
"PLASTIC FILMS INTERNACIONAL S.A.",plastic films internacional,NOT_MATCHED,
"Hurtigruten Global Sales AS",hurtigruten global sales,NOT_LISTED
"MANE SUCURSAL COLOMBIA",mane sucursal colombia,NOT_LISTED
"GEODIS COLOMBIA LTDA.",geodis colombia,NOT_LISTED
